NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
1898756;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1419.0;1385.0;1398.0;1407.0;575.5;640.9;582.5;622.3;BEBDDCBCEBDADAACEEDDDBBAEACECDCADCCECEBCBBAEC;CAEDBCDBECECEDADEAEACDCADBEDEBBEAAADDECBCBDAD;EAABCABCBDEECCCCCAEDADEEDDBEABCBBADDBDADDCECB;BDDABABDDDACEBDBABCDBCEACBEDDCCDDAADDBCBCDCEC;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1.0;120.0;200.0;140.0;120.0;120.0;700.0
3983809;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1422.0;1384.0;1396.0;1410.0;538.8;544.6;573.8;428.9;CCABEADBBCBCEEDBAEAEBEAEBCDEDDECDBBBAEDACBECB;DECCECDBECEEAABBEBEDCCBEBDCADEEEBADEADAAEDCCA;AACEADADECCBDDCEBBECCCBEDDCDCEACEBDEBAEEEDDEC;CCCCBCEDCADABECBCEECCADBBCACDCCCDABBDDBEDBCBB;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1.0;120.0;160.0;120.0;120.0;120.0;640.0
988494;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1419.0;1385.0;1398.0;1407.0;525.9;559.3;573.4;651.2;BCEAEECDDBCDAEEDEBDDECDAEAEEBABCCCEEDEDDCBACE;DAEDBADBCADCACABBEAABDCACCEDEADDEABCAECBCDBAD;EAAACDDABDEECACBA.EDAAEEB.AEEDABCEBDDDEDDEACD;CBDABBDDDDCCCCACADABCCEEEBCADAECEEAEDDCDBDACB;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1.0;120.0;160.0;120.0;120.0;120.0;640.0
495050;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1420.0;1383.0;1395.0;1408.0;623.7;616.1;596.5;586.5;EAEDCACCEEEBBCDCCDDDCADEEECDBDEBCAAAB.DEABDDC;CACEBDAEDBADDEBBABCDCAECEDACDADAEEADEEBCBACCE;CBABEECBEACDDCBDEBDCCCCDCBDEADCCDAEECBEDADEEB;CACDDAEBCBDADEAECECDBADDCCDBCBABDEBBDDEEDCAAC;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1.0;120.0;160.0;120.0;120.0;120.0;640.0
2524564;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1419.0;1385.0;1398.0;1407.0;584.2;617.8;621.1;683.2;BACCDEDCDAACCCDEEBCDBAEEEAEBBDAAACCCEEBEACBDE;CABDBCBBEBEDEDADEADAABEADEEDEBBEEACECEEBCEACD;EAAACDDCBDEECCBDBAEDADDEBCBEAADECBCDADDDDCECB;CBBABCACEDAEBAEBADCBBCCBECCBCDEEACABDECDCEACC;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1.0;160.0;200.0;160.0;200.0;160.0;880.0
1792438;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1419.0;1385.0;1398.0;1407.0;651.5;559.6;604.2;611.6;BCEAECBDDDAABBDDEABDDBBCDAEEBAECACCEAEBDCDCBD;BADBCCBBEABCEBABEADABECADCEBAABCEACBCEDBCDBBD;EAAACCBCBDEECEADECEDADEEDCBECDDBDEBDCDDDDAECB;ECEABBACBDDBCABDCCEDBCCBBACADDDECAAEEEDABBECC;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1.0;120.0;120.0;80.0;120.0;120.0;560.0
4124731;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1421.0;1386.0;1397.0;1409.0;597.6;483.5;466.6;618.9;CEADBEEBADEAECCBEBDACECDBEACBEDDECDCDEAECBDED;ABEEADEECEBDC*AEBADBCADEBADBEDDBAECABACDEAECA;DCDDAEBEDADDEBDEEDACEBBDACEBBECBEDDBEACEEBCDB;CDACEBDBBDCEAADABCDBCAEDBEECBBBECBBDBEDBDDACB;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1.0;140.0;180.0;120.0;160.0;180.0;780.0
612317;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1420.0;1383.0;1395.0;1408.0;593.7;531.6;574.1;548.7;EAEDCAECBDEBDCBBEBDABBEADCDEEEEACAAEADDCBDDEE;CEAACEACECEDBEEBCBCDBABCCBABEAEAEEADECADBEBCA;AAAABACBECDDDCBDEDDAEBEEEBCEDEDCEBDBCBEDADCEB;DECCACBBCCACBBCDECCBACECBAA*ECAAACEDACCEADEBD;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1.0;120.0;140.0;120.0;120.0;120.0;620.0
919285;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1419.0;1385.0;1398.0;1407.0;474.3;517.7;548.1;482.3;ECEDDBABDABCBBCCABBDAAECCAAEEDCCAEACDEDDEBADC;DEEEBCDCDCECEBADBBDEDCAACEEBEBDDAACEBBCACDCAB;DCAADCBEBCEECAAACCCDADEABEBEBDEBAADDBBDDDCECB;DABACABCAECBEDDBEDACABEBCCCDBECDEBBDEECBCECDA;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1.0;120.0;200.0;160.0;160.0;160.0;800.0
1254406;2024;33439265.0;3301702.0;Duque de Caxias;33.0;RJ;1.0;1.0;1.0;3301702;Duque de Caxias;33;RJ;1;1;1;1;1422.0;1384.0;1396.0;1410.0;480.7;598.9;579.2;627.8;DCADBCAEEBDEE.DCBDEDEEACACBCDDECAADDCEDBACEDB;ADDCECDCECBDEBBBCBEEBBDADDCADCEADCCDAECAECECA;DDDBEBADECBBDBEEBDCDDEBEDEAADCBDEBCCAADECCBBC;CBCDDEEBDCBBECCDBECADCAABEAEBAECDBCBADADCDDED;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1.0;140.0;200.0;160.0;180.0;180.0;860.0
